"modelID","varName","value","temperature","climate","indoorUnittype","info","hpType"
"","EN14825_002","7.07","5","3","0","2","0"
"","EN14825_003","4.60","4","3","0","2","0"
"","EN14825_003","3.36","5","3","0","2","0"
"","EN14825_004","-7","4","3","0","2","0"
"","EN14825_004","-7","5","3","0","2","0"
"","EN14825_005","-25","4","3","0","2","0"
"","EN14825_005","-25","5","3","0","2","0"
"","EN14825_008","7.78","4","3","0","2","0"
"","EN14825_008","6.26","5","3","0","2","0"
"","EN14825_009","3.25","4","3","0","2","0"
"","EN14825_009","1.79","5","3","0","2","0"
"","EN14825_047","0.900","4","3","0","2","0"
"","EN14825_047","0.900","5","3","0","2","0"
"","EN14825_010","4.91","4","3","0","2","0"
"","EN14825_010","3.84","5","3","0","2","0"
"","EN14825_011","4.46","4","3","0","2","0"
"","EN14825_011","3.46","5","3","0","2","0"
"","EN14825_048","0.900","4","3","0","2","0"
"","EN14825_048","0.900","5","3","0","2","0"
"","EN14825_012","4.19","4","3","0","2","0"
"","EN14825_012","4.06","5","3","0","2","0"
"","EN14825_013","6.16","4","3","0","2","0"
"","EN14825_013","4.84","5","3","0","2","0"
"","EN14825_049","0.900","4","3","0","2","0"
"","EN14825_049","0.900","5","3","0","2","0"
"","EN14825_014","5.02","4","3","0","2","0"
"","EN14825_014","4.87","5","3","0","2","0"
"","EN14825_015","8.24","4","3","0","2","0"
"","EN14825_015","6.74","5","3","0","2","0"
"","EN14825_050","0.900","4","3","0","2","0"
"","EN14825_050","0.900","5","3","0","2","0"
"","EN14825_016","7.78","4","3","0","2","0"
"","EN14825_016","6.26","5","3","0","2","0"
"","EN14825_017","3.25","4","3","0","2","0"
"","EN14825_017","1.79","5","3","0","2","0"
"","EN14825_018","6.36","4","3","0","2","0"
"","EN14825_018","5.86","5","3","0","2","0"
"","EN14825_019","2.78","4","3","0","2","0"
"","EN14825_019","1.78","5","3","0","2","0"
"","EN14825_021","0.900","4","3","0","2","0"
"","EN14825_021","0.900","5","3","0","2","0"
"","EN14825_022","56","4","3","0","2","0"
"","EN14825_022","56","5","3","0","2","0"
"","EN14825_023","17","4","3","0","2","0"
"","EN14825_023","9","5","3","0","2","0"
"","EN14825_024","25","4","3","0","2","0"
"","EN14825_024","25","5","3","0","2","0"
"","EN14825_025","17","4","3","0","2","0"
"","EN14825_025","9","5","3","0","2","0"
"","EN14825_026","33","4","3","0","2","0"
"","EN14825_026","39","5","3","0","2","0"
"","EN14825_027","1","4","3","0","2","0"
"","EN14825_027","1","5","3","0","2","0"
"","EN14825_028","2.43","4","3","0","2","0"
"","EN14825_028","1.21","5","3","0","2","0"
"","EN14825_029","3944","4","3","0","2","0"
"","EN14825_029","4345","5","3","0","2","0"
"","EN12102_2_001","46","0","3","0","2","0"
"","EN12102_2_002","54","0","3","0","2","0"
"","EN16147_001","L","0","3","0","2","0"
"","EN16147_002","121","0","3","0","2","0"
"","EN16147_003","2.87","0","3","0","2","0"
"","EN16147_004","22:44:31","0","3","0","2","0"
"","EN16147_005","39.0","0","3","0","2","0"
"","EN16147_006","45.3","0","3","0","2","0"
"","EN16147_007","223","0","3","0","2","0"
"","EN16147_008","2","0","5","0","2","0"
"","EN16147_009","2","0","5","0","2","0"
"","EN16147_010","2","0","5","0","2","0"
"","Refrigerant","R32","0","0","0","0"
"","Mass of Refrigerant","1,800 kg","0","0","0","0"
"","Date","22.09.2023","0","0","0","0"
"","Manufacturer"," Zhongshan Amitime Electric Co., Ltd  ","0","0","0","0"
"","Modelname","DC Inverter Air to Water Heat Pump Unit- R32- 12- C","0","0","0","0"
"","Type","Outdoor Air/Water","0","0","0","0"
"","Energy","Electricity","0","0","0","0"
