"modelID","varName","value","temperature","climate","indoorUnittype","info","hpType"
"","EN14825_010","4.80","4","3","0","2","0"
"","EN14825_010","4.70","5","3","0","2","0"
"","EN14825_011","4.90","4","3","0","2","0"
"","EN14825_011","3.40","5","3","0","2","0"
"","EN14825_048","0.980","4","3","0","2","0"
"","EN14825_048","0.980","5","3","0","2","0"
"","EN14825_012","3.90","4","3","0","2","0"
"","EN14825_012","3.70","5","3","0","2","0"
"","EN14825_013","6.54","4","3","0","2","0"
"","EN14825_013","4.83","5","3","0","2","0"
"","EN14825_049","0.960","4","3","0","2","0"
"","EN14825_049","0.970","5","3","0","2","0"
"","EN14825_014","4.50","4","3","0","2","0"
"","EN14825_014","4.40","5","3","0","2","0"
"","EN14825_015","8.45","4","3","0","2","0"
"","EN14825_015","6.45","5","3","0","2","0"
"","EN14825_050","0.960","4","3","0","2","0"
"","EN14825_050","0.970","5","3","0","2","0"
"","EN14825_016","8.00","4","3","0","2","0"
"","EN14825_016","7.70","5","3","0","2","0"
"","EN14825_017","3.19","4","3","0","2","0"
"","EN14825_017","2.26","5","3","0","2","0"
"","EN14825_018","7.90","4","3","0","2","0"
"","EN14825_018","7.40","5","3","0","2","0"
"","EN14825_019","2.79","4","3","0","2","0"
"","EN14825_019","2.01","5","3","0","2","0"
"","EN14825_021","0.990","4","3","0","2","0"
"","EN14825_021","0.990","5","3","0","2","0"
"","EN14825_022","60","4","3","0","2","0"
"","EN14825_022","60","5","3","0","2","0"
"","EN14825_023","13","4","3","0","2","0"
"","EN14825_023","13","5","3","0","2","0"
"","EN14825_024","23","4","3","0","2","0"
"","EN14825_024","23","5","3","0","2","0"
"","EN14825_025","13","4","3","0","2","0"
"","EN14825_025","13","5","3","0","2","0"
"","EN14825_026","0","4","3","0","2","0"
"","EN14825_026","0","5","3","0","2","0"
"","EN14825_027","1","4","3","0","2","0"
"","EN14825_027","1","5","3","0","2","0"
"","EN14825_028","1.10","4","3","0","2","0"
"","EN14825_028","1.30","5","3","0","2","0"
"","EN14825_029","3764","4","3","0","2","0"
"","EN14825_029","5078","5","3","0","2","0"
"","title","Alféa Excellia M Duo 8","0","0","0","1","0"
"","application","4","0","0","0","1","0"
"","indoor","1","0","0","0","1","0"
"","outdoor","1","0","0","0","1","0"
"","coolingMode7c12c","0","0","0","0","1","0"
"","coolingMode18c23c","0","0","0","0","1","0"
"","colderClimate","0","0","0","0","1","0"
"","warmerClimate","0","0","0","0","1","0"
"","reversibility","0","0","0","0","1","0"
"","colderForHeating","0","0","0","0","1","0"
"","warmerForHeating","0","0","0","0","1","0"
"","en145112Certification","0","0","0","0","1","0"
"","heatSource","0","0","0","0","1","0"
"","additionalOutdoorAir","0","0","0","0","1","0"
"","additionalExhaustAir","0","0","0","0","1","0"
"","additionalIndoorAir","0","0","0","0","1","0"
"","additionalNonheatedSpaceAir","0","0","0","0","1","0"
"","powerSupply","1","0","0","0","1","0"
"","offPeakProduct","0","0","0","0","1","0"
"","EN14511_2_001","8.00","4","10","0","2","0"
"","EN14511_2_001","8.00","5","10","0","2","0"
"","EN14511_2_002","1.57","4","10","0","2","0"
"","EN14511_2_002","2.62","5","10","0","2","0"
"","EN14511_2_003","5.08","4","10","0","2","0"
"","EN14511_2_003","3.05","5","10","0","2","0"
"","EN14511_4_003","2","0","10","0","2","0"
"","EN14511_4_004","2","0","10","0","2","0"
"","EN14511_4_005","2","0","10","0","2","0"
"","EN14511_4_006","2","0","10","0","2","0"
"","EN12102_1_001","40","4","3","0","2","0"
"","EN12102_1_001","40","5","3","0","2","0"
"","EN12102_1_002","56","4","3","0","2","0"
"","EN12102_1_002","56","5","3","0","2","0"
"","EN14825_001","195","4","3","0","2","0"
"","EN14825_001","139","5","3","0","2","0"
"","EN14825_002","9.00","4","3","0","2","0"
"","EN14825_002","8.70","5","3","0","2","0"
"","EN14825_003","4.94","4","3","0","2","0"
"","EN14825_003","3.54","5","3","0","2","0"
"","EN14825_004","-7","4","3","0","2","0"
"","EN14825_004","-7","5","3","0","2","0"
"","EN14825_005","-10","4","3","0","2","0"
"","EN14825_005","-10","5","3","0","2","0"
"","EN14825_008","8.00","4","3","0","2","0"
"","EN14825_008","7.70","5","3","0","2","0"
"","EN14825_009","3.19","4","3","0","2","0"
"","EN14825_009","2.26","5","3","0","2","0"
"","EN14825_047","0.990","4","3","0","2","0"
"","EN14825_047","0.990","5","3","0","2","0"
"","EN14825_010","4.80","4","3","0","2","0"
"","EN14825_010","4.70","5","3","0","2","0"
"","EN14825_011","4.90","4","3","0","2","0"
"","EN14825_011","3.40","5","3","0","2","0"
"","EN14825_048","0.980","4","3","0","2","0"
"","EN14825_048","0.980","5","3","0","2","0"
"","EN14825_012","3.90","4","3","0","2","0"
"","EN14825_012","3.70","5","3","0","2","0"
"","EN14825_013","6.54","4","3","0","2","0"
"","EN14825_013","4.83","5","3","0","2","0"
"","EN14825_049","0.960","4","3","0","2","0"
"","EN14825_049","0.970","5","3","0","2","0"
"","EN14825_014","4.50","4","3","0","2","0"
"","EN14825_014","4.40","5","3","0","2","0"
"","EN14825_015","8.45","4","3","0","2","0"
"","EN14825_015","6.45","5","3","0","2","0"
"","EN14825_050","0.960","4","3","0","2","0"
"","EN14825_050","0.970","5","3","0","2","0"
"","EN14825_016","8.00","4","3","0","2","0"
"","EN14825_016","7.70","5","3","0","2","0"
"","EN14825_017","3.19","4","3","0","2","0"
"","EN14825_017","2.26","5","3","0","2","0"
"","EN14825_018","7.90","4","3","0","2","0"
"","EN14825_018","7.40","5","3","0","2","0"
"","EN14825_019","2.79","4","3","0","2","0"
"","EN14825_019","2.01","5","3","0","2","0"
"","EN14825_021","0.990","4","3","0","2","0"
"","EN14825_021","0.990","5","3","0","2","0"
"","EN14825_022","60","4","3","0","2","0"
"","EN14825_022","60","5","3","0","2","0"
"","EN14825_023","13","4","3","0","2","0"
"","EN14825_023","13","5","3","0","2","0"
"","EN14825_024","23","4","3","0","2","0"
"","EN14825_024","23","5","3","0","2","0"
"","EN14825_025","13","4","3","0","2","0"
"","EN14825_025","13","5","3","0","2","0"
"","EN14825_026","0","4","3","0","2","0"
"","EN14825_026","0","5","3","0","2","0"
"","EN14825_027","1","4","3","0","2","0"
"","EN14825_027","1","5","3","0","2","0"
"","EN14825_028","1.10","4","3","0","2","0"
"","EN14825_028","1.30","5","3","0","2","0"
"","EN14825_029","3764","4","3","0","2","0"
"","EN14825_029","5078","5","3","0","2","0"
"","EN16147_001","L","0","3","0","2","0"
"","EN16147_002","124","0","3","0","2","0"
"","EN16147_003","3.10","0","3","0","2","0"
"","EN16147_004","1:35","0","3","0","2","0"
"","EN16147_005","45.0","0","3","0","2","0"
"","EN16147_006","55.0","0","3","0","2","0"
"","EN16147_007","238","0","3","0","2","0"
"","Refrigerant","R32","0","0","0","0"
"","Mass of Refrigerant","1,470 kg","0","0","0","0"
"","Date","19.09.2023","0","0","0","0"
"","Manufacturer"," Groupe Atlantic","0","0","0","0"
"","Modelname","Alféa Excellia M 8","0","0","0","0"
"","Type","Outdoor Air/Water","0","0","0","0"
"","Energy","Electricity","0","0","0","0"
